sensor,pearson_r,spearman_rho,señal
s11,-0.6962281014554191,-0.7181317192085387,ALTA
s4,-0.6789482333860457,-0.7017713035513337,ALTA
s12,0.6719831036132902,0.6931487099104524,ALTA
s7,0.6572226620548834,0.6788452278745494,ALTA
s15,-0.6426670441973746,-0.6659053348298762,ALTA
s21,0.635662042180292,0.6574169005272447,ALTA
s20,0.6294284994377346,0.6533362855586343,ALTA
s2,-0.6064839743783386,-0.6285880946546006,ALTA
s17,-0.6061535537829663,-0.6293968932564037,ALTA
s3,-0.5845203909175871,-0.605608784737752,MEDIA
s8,-0.5639684065771843,-0.573863934938421,MEDIA
s13,-0.5625688251495555,-0.5725486856446357,MEDIA
s9,-0.39010157491807107,-0.3220138941072293,MEDIA
s14,-0.30676887025758454,-0.20179200353811325,MEDIA
