,mean_abs_shap
s11_w30_slope,3.6929464439369433
s2_w15_mean,3.160438744577629
s4_w15_mean,2.830293047965959
s3_w15_mean,2.5858086590245337
s12_w30_slope,2.1999784469202073
s11_delta,1.8605032573819238
s9_delta,1.5904168690104572
s17_w15_mean,1.4295549573509925
s8_w30_slope,1.3536215791281618
s9_w30_slope,1.263697353431659
s11_w15_mean,1.249438868045943
s4_w30_slope,1.214225879164645
s15_w15_mean,1.2000278807964089
s21_w15_mean,1.1748182355321324
s14_w30_slope,1.1254133461463383
s13_w30_slope,0.9634910521981125
s7_w30_slope,0.8924922358633881
s9_w15_mean,0.7952567350199391
s14_w30_mean,0.6864055853375691
s20_w15_mean,0.6649115107735821
