Sensor,Media,Std,Mín,Máx,Varianza,CV_%
s1,518.67,6.537151601226413e-11,518.67,518.67,4.273435105741705e-21,0.0
s2,642.6809335466046,0.5000532700606122,641.21,644.53,0.25005327289831153,0.08
s3,1590.5231186079204,6.131149519690787,1571.04,1616.91,37.59099443280457,0.39
s4,1408.9337816877514,9.000604780543735,1382.25,1441.49,81.01088641554675,0.64
s5,14.620000000000001,3.3947001929194767e-12,14.62,14.62,1.1523989399807532e-23,0.0
s6,21.60980320876352,0.0013889849127070525,21.6,21.61,1.9292790877278185e-06,0.01
s7,553.367711211284,0.885092257663408,549.85,556.06,0.7833883045757087,0.16
s8,2388.0966516407348,0.0709854788909189,2387.9,2388.56,0.005038938213373092,0.0
s9,9065.242940720276,22.08287952506627,9021.73,9244.59,487.6535681185912,0.24
s10,1.3,4.660829215684185e-13,1.3,1.3,2.172332897777525e-25,0.0
s11,47.54116814502448,0.2670873986396874,46.85,48.53,0.07133567851211528,0.56
s12,521.4134700208425,0.7375533922097044,518.69,523.38,0.543985006360042,0.14
s13,2388.0961523920314,0.07191891569858286,2387.88,2388.56,0.005172330435259868,0.0
s14,8143.752722117202,19.076175975953127,8099.94,8293.72,363.90048986553126,0.23
s15,8.44214558189133,0.03750503795196683,8.3249,8.5848,0.0014066278717784722,0.44
s16,0.030000000000000013,1.5564316238059236e-14,0.03,0.03,2.422479399583144e-28,0.0
s17,393.2106538703892,1.5487630246142414,388.0,400.0,2.398666906412253,0.39
s18,2388.0,0.0,2388.0,2388.0,0.0,0.0
s19,100.0,0.0,100.0,100.0,0.0,0.0
s20,38.816270660656286,0.18074642787366235,38.14,39.43,0.03266927118908903,0.47
s21,23.289705360864716,0.10825087474491232,22.8942,23.6184,0.011718251883038697,0.46
